Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E05",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",26.2,ddPCR Supermix for Probes (no dUTP),524,,,29.1,23.3,315,13979,0,8,315,13971,0,14294,,,,,,,,0.025,,,0.043,0.007,2.5,,,4.2,0.7,1,1,2658,11154,1160.9,1381.1,"",,,,27.7,24.7,,,,,,,0.034,0.016,,,3.3,1.6,
"E06",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",3.4,ddPCR Supermix for Probes (no dUTP),68,,,4.5,2.5,46,15919,0,2,46,15917,0,15965,,,,,,,,0.04,,,0.11,0,4,,,10,0,1,1,1411,10943,1158.8,1187,"",,,,3.92,2.92,,,,,,,0.076,0.01,,,7.2,1.1,
"E07",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",40.5,ddPCR Supermix for Probes (no dUTP),810,,,44,36.9,506,14458,0,4,506,14454,0,14964,,,,,,,,0.008,,,0.016,0,0.8,,,1.6,0,1,1,1942,11113,1152.6,1489.4,"",,,,42.3,38.7,,,,,,,0.0118,0.0038,,,1.16,0.38,
"E08",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",67,ddPCR Supermix for Probes (no dUTP),1340,,,71.8,62.2,749,12784,1,13,748,12771,0.0207,13533,,,,,,,,0.018,,,0.028,0.008,1.8,,,2.7,0.8,1,1,2573,11011,1144.4,1690.5,"",,,,69.4,64.5,,,,,,,0.0231,0.0133,,,2.26,1.31,
"E09",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",41.7,ddPCR Supermix for Probes (no dUTP),834,,,45.4,38.1,503,13929,1,9,502,13920,0.0551,14432,,,,,,,,0.02,,,0.032,0.007,1.9,,,3.1,0.7,1,1,2633,11084,1155.7,1501.7,"",,,,43.6,39.9,,,,,,,0.026,0.013,,,2.5,1.3,
"E10",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",32.2,ddPCR Supermix for Probes (no dUTP),644,,,35.2,29.2,449,16191,1,5,448,16186,0.0609,16640,,,,,,,,0.013,,,0.024,0.002,1.3,,,2.4,0.2,1,1,2846,11099,1161.7,1429.9,"",,,,33.7,30.7,,,,,,,0.019,0.008,,,1.8,0.8,
"E11",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",50.7,ddPCR Supermix for Probes (no dUTP),1014,,,54.5,46.9,702,15943,1,9,701,15934,0.0427,16645,,,,,,,,0.014,,,0.023,0.005,1.4,,,2.2,0.5,1,1,2882,11373,1161.9,1592.5,"",,,,52.6,48.8,,,,,,,0.0184,0.0095,,,1.81,0.94,
"E12",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",27.9,ddPCR Supermix for Probes (no dUTP),558,,,31,24.8,307,12785,0,0,307,12785,0,13092,,,,,,,,,,,,,,,,,,1,1,1326,10898,1150.5,1379,"",,,,29.5,26.3,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",9.6,ddPCR Supermix for Probes (no dUTP),192,,,11.4,7.8,111,13530,8,2,103,13528,0.689,13641,,,,,,,,0.09,,,0.15,0.03,8.2,,,13.2,3.3,1,1,2942,10852,1162.1,1241,"",,,,10.5,8.7,,,,,,,0.12,0.06,,,10.7,5.7,
"F02",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",55.3,ddPCR Supermix for Probes (no dUTP),1106,,,59.6,51,632,13129,9,18,623,13111,0.697,13761,,,,,,,,0.042,,,0.058,0.026,4,,,5.5,2.5,1,1,2674,11273,1165.8,1630,"",,,,57.5,53.1,,,,,,,0.05,0.034,,,4.8,3.3,
"F03",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",36,ddPCR Supermix for Probes (no dUTP),720,,,39.4,32.6,424,13648,1,4,423,13644,0.0732,14072,,,,,,,,0.012,,,0.022,0.001,1.1,,,2.2,0.1,1,1,2733,11088,1160.2,1459.4,"",,,,37.7,34.2,,,,,,,0.017,0.006,,,1.7,0.6,
